Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;WE(1).Potential (V)
-0.153350830078125;37.305371905813;-1.165771484375E-05;1;582;-0.1533203125
-0.150299072265625;37.3358899057359;-1.16241455078125E-05;1;583;-0.150238037109375
-0.147247314453125;37.3664079056589;-1.1590576171875E-05;1;584;-0.147308349609375
-0.144195556640625;37.3969259055818;-1.15570068359375E-05;1;585;-0.1441650390625
-0.141143798828125;37.4274439055048;-1.15234375E-05;1;586;-0.14111328125
-0.138092041015625;37.4579619054277;-1.14898681640625E-05;1;587;-0.1380615234375
-0.135040283203125;37.4884799053507;-1.1456298828125E-05;1;588;-0.135009765625
-0.131988525390625;37.5189979052736;-1.142578125E-05;1;589;-0.1319580078125
-0.128936767578125;37.5495159051966;-1.138916015625E-05;1;590;-0.128936767578125
-0.125885009765625;37.5800339051195;-1.1358642578125E-05;1;591;-0.1258544921875
-0.122833251953125;37.6105519050425;-1.1328125E-05;1;592;-0.12286376953125
-0.119781494140625;37.6410699049654;-1.1297607421875E-05;1;593;-0.119720458984375
-0.116729736328125;37.6715879048884;-1.12640380859375E-05;1;594;-0.11669921875
-0.113677978515625;37.7021059048113;-1.12335205078125E-05;1;595;-0.11370849609375
-0.110626220703125;37.7326239047343;-1.1199951171875E-05;1;596;-0.110565185546875
-0.107574462890625;37.7631419046572;-1.116943359375E-05;1;597;-0.1075439453125
-0.104522705078125;37.7936599045802;-1.1138916015625E-05;1;598;-0.1044921875
-0.101470947265625;37.8241779045031;-1.11114501953125E-05;1;599;-0.101470947265625
-0.098419189453125;37.8546959044261;-1.1077880859375E-05;1;600;-0.098419189453125
-0.095367431640625;37.885213904349;-1.10504150390625E-05;1;601;-0.09527587890625
-0.092315673828125;37.915731904272;-1.102294921875E-05;1;602;-0.092254638671875
-0.089263916015625;37.9462499041949;-1.09893798828125E-05;1;603;-0.089263916015625
-0.086212158203125;37.9767679041179;-1.09588623046875E-05;1;604;-0.086181640625
-0.083160400390625;38.0072859040408;-1.0931396484375E-05;1;605;-0.083160400390625
-0.080108642578125;38.0378039039638;-1.09039306640625E-05;1;606;-0.080078125
-0.077056884765625;38.0683219038867;-1.0870361328125E-05;1;607;-0.0770263671875
-0.074005126953125;38.0988399038097;-1.083984375E-05;1;608;-0.074005126953125
-0.070953369140625;38.1293579037326;-1.08154296875E-05;1;609;-0.070831298828125
-0.067901611328125;38.1598759036556;-1.07879638671875E-05;1;610;-0.06787109375
-0.064849853515625;38.1903939035785;-1.07574462890625E-05;1;611;-0.064849853515625
-0.061798095703125;38.2209119035015;-1.07269287109375E-05;1;612;-0.06170654296875
-0.058746337890625;38.2514299034244;-1.0699462890625E-05;1;613;-0.05877685546875
-0.055694580078125;38.2819479033474;-1.0675048828125E-05;1;614;-0.055633544921875
-0.052642822265625;38.3124659032703;-1.064453125E-05;1;615;-0.052581787109375
-0.049591064453125;38.3429839031933;-1.0614013671875E-05;1;616;-0.04962158203125
-0.046539306640625;38.3735019031162;-1.0589599609375E-05;1;617;-0.0462982177734375
-0.043487548828125;38.4040199030392;-1.055908203125E-05;1;618;-0.0432281494140625
-0.040435791015625;38.4345379029621;-1.0528564453125E-05;1;619;-0.040179443359375
-0.037384033203125;38.4650559028851;-1.0504150390625E-05;1;620;-0.0371185302734375
-0.034332275390625;38.495573902808;-1.04766845703125E-05;1;621;-0.0340972900390625
-0.031280517578125;38.526091902731;-1.044921875E-05;1;622;-0.0310089111328125
-0.028228759765625;38.5566099026539;-1.04217529296875E-05;1;623;-0.0279876708984375
-0.025177001953125;38.5871279025769;-1.0394287109375E-05;1;624;-0.0249267578125
-0.022125244140625;38.6176459024998;-1.036376953125E-05;1;625;-0.02188720703125
-0.019073486328125;38.6481639024228;-1.033935546875E-05;1;626;-0.0188201904296875
-0.016021728515625;38.6786819023457;-1.03057861328125E-05;1;627;-0.0158050537109375
-0.012969970703125;38.7091999022687;-1.0284423828125E-05;1;628;-0.0127227783203125
-0.009918212890625;38.7397179021916;-1.025390625E-05;1;629;-0.0096710205078125
-0.006866455078125;38.7702359021146;-1.02325439453125E-05;1;630;-0.00657958984375
-0.003814697265625;38.8007539020375;-1.01959228515625E-05;1;631;-0.0035400390625
-0.000762939453125;38.8312719019605;-1.01715087890625E-05;1;632;-0.000527954101562506
